epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,179.758,1.78417,2.23524,0.00655,0.29227,0.29974,0.27705,0.16341,1.65309,1.84901,0.00714,0.00332143,0.00332143,0.0701071
2,328.766,1.68819,1.64725,0.00595,0.54241,0.40981,0.35959,0.21736,1.50782,1.54029,0.0067,0.00639123,0.00639123,0.0398436
3,477.693,1.67716,1.52596,0.00588,0.62084,0.44435,0.44518,0.28773,1.41754,1.35686,0.00581,0.00919704,0.00919704,0.00931609
4,624.235,1.6112,1.42569,0.00565,0.69666,0.47102,0.51922,0.35251,1.40608,1.24449,0.00582,0.008812,0.008812,0.008812
5,768.606,1.58258,1.36027,0.00552,0.65787,0.47166,0.49212,0.32729,1.43447,1.19065,0.00579,0.008416,0.008416,0.008416
6,907.076,1.52465,1.29971,0.0053,0.70884,0.5128,0.55964,0.37344,1.35523,1.06675,0.00586,0.00802,0.00802,0.00802
7,1050.81,1.51602,1.28101,0.00525,0.73201,0.5283,0.57802,0.39719,1.34111,1.07967,0.00549,0.007624,0.007624,0.007624
8,1192.29,1.51821,1.25563,0.00518,0.75817,0.51585,0.60443,0.4368,1.28723,1.02271,0.00521,0.007228,0.007228,0.007228
9,1332.6,1.4735,1.20067,0.00495,0.72715,0.55046,0.58698,0.42224,1.23264,1.04688,0.00488,0.006832,0.006832,0.006832
10,1471.56,1.48329,1.19769,0.00504,0.54981,0.58266,0.60415,0.43882,1.23415,1.01342,0.00484,0.006436,0.006436,0.006436
11,1612.63,1.44512,1.14491,0.00474,0.6011,0.593,0.61736,0.45343,1.22748,1.00632,0.00495,0.00604,0.00604,0.00604
12,1753.51,1.42618,1.13845,0.00468,0.64239,0.60972,0.62891,0.45936,1.19565,0.97635,0.00477,0.005644,0.005644,0.005644
13,1894.93,1.43795,1.12883,0.00476,0.58618,0.61849,0.62742,0.45977,1.20387,0.93765,0.00489,0.005248,0.005248,0.005248
14,2033.99,1.41616,1.09456,0.00464,0.72559,0.58289,0.6458,0.47889,1.20273,0.90817,0.00476,0.004852,0.004852,0.004852
15,2172.59,1.41344,1.08883,0.00469,0.70489,0.63155,0.66896,0.49625,1.19821,0.90634,0.00469,0.004456,0.004456,0.004456
16,2251.39,1.32114,0.99505,0.00491,0.65525,0.62658,0.66373,0.49594,1.17789,0.90892,0.0046,0.00406,0.00406,0.00406
17,2329,1.29654,0.9598,0.00478,0.62862,0.6663,0.67982,0.50979,1.17903,0.86155,0.00458,0.003664,0.003664,0.003664
18,2407.55,1.27926,0.94044,0.00469,0.67071,0.64854,0.68639,0.52006,1.14279,0.86108,0.00438,0.003268,0.003268,0.003268
19,2485.25,1.25546,0.91291,0.00456,0.70447,0.645,0.71458,0.54879,1.11391,0.82634,0.00427,0.002872,0.002872,0.002872
20,2563.44,1.25635,0.9092,0.00457,0.71595,0.65156,0.71875,0.54436,1.12908,0.83289,0.00436,0.002476,0.002476,0.002476
21,2641.99,1.2379,0.90042,0.00447,0.67468,0.68811,0.72366,0.55534,1.10299,0.81639,0.00415,0.00208,0.00208,0.00208
22,2720.97,1.23027,0.89004,0.00436,0.7098,0.67634,0.72901,0.56417,1.09502,0.80455,0.00414,0.001684,0.001684,0.001684
23,2800.52,1.21144,0.88834,0.00439,0.72255,0.65361,0.73136,0.56387,1.09085,0.80757,0.0041,0.001288,0.001288,0.001288
24,2881.02,1.20583,0.86409,0.00424,0.71375,0.69337,0.73781,0.57069,1.07989,0.79821,0.00401,0.000892,0.000892,0.000892
25,2962.13,1.20492,0.86224,0.00422,0.68849,0.71506,0.7393,0.57755,1.06631,0.78484,0.00393,0.000496,0.000496,0.000496
