epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,146.898,2.04561,4.19379,0.0079,0.04079,0.08064,0.02425,0.0177,1.61339,3.76979,0.0069,0.000327381,0.000327381,0.0675893
2,266.144,1.7802,3.72651,0.00627,0.0533,0.2857,0.07815,0.04952,1.4245,3.17532,0.00578,0.000638911,0.000638911,0.0345675
3,384.517,1.67161,3.14086,0.00565,0.77561,0.14076,0.09853,0.0647,1.36377,2.59938,0.00547,0.00092844,0.00092844,0.00152368
4,500.531,1.57756,2.64718,0.00527,0.45269,0.15118,0.1275,0.08266,1.27542,2.393,0.00485,0.000901,0.000901,0.000901
5,615.324,1.53011,2.4071,0.00484,0.70486,0.1601,0.18144,0.12647,1.22771,2.13906,0.00459,0.000868,0.000868,0.000868
6,730.055,1.49987,2.26869,0.00472,0.67733,0.20293,0.21699,0.15747,1.19051,1.99947,0.0044,0.000835,0.000835,0.000835
7,842.546,1.46827,2.15663,0.00455,0.58795,0.25238,0.24435,0.17615,1.17686,1.82301,0.00437,0.000802,0.000802,0.000802
8,954.448,1.44499,2.06019,0.00447,0.46304,0.28054,0.26054,0.18873,1.17011,1.7224,0.00427,0.000769,0.000769,0.000769
9,1068.64,1.44984,1.99146,0.00443,0.45177,0.31628,0.276,0.19738,1.16637,1.65235,0.0042,0.000736,0.000736,0.000736
10,1182.18,1.42512,1.93214,0.00437,0.46832,0.3516,0.29539,0.2142,1.14983,1.59577,0.00422,0.000703,0.000703,0.000703
11,1297.9,1.42419,1.90129,0.0044,0.48437,0.36503,0.31361,0.22879,1.14646,1.55,0.00416,0.00067,0.00067,0.00067
12,1415.35,1.4289,1.85125,0.00427,0.49478,0.38344,0.32347,0.23335,1.15238,1.52241,0.0042,0.000637,0.000637,0.000637
13,1530.87,1.43193,1.82901,0.00429,0.51438,0.39016,0.34236,0.2503,1.13923,1.48473,0.0041,0.000604,0.000604,0.000604
14,1646.17,1.40235,1.80047,0.00429,0.5292,0.40346,0.36002,0.2637,1.14058,1.44889,0.00415,0.000571,0.000571,0.000571
15,1762.74,1.41509,1.76103,0.00432,0.54087,0.41073,0.37424,0.27638,1.14418,1.41047,0.00418,0.000538,0.000538,0.000538
16,1879.04,1.39643,1.73308,0.00425,0.55243,0.42217,0.38647,0.28573,1.13763,1.38922,0.00413,0.000505,0.000505,0.000505
17,1994.87,1.41439,1.71355,0.00426,0.57385,0.42027,0.3969,0.29398,1.1388,1.36607,0.00417,0.000472,0.000472,0.000472
18,2109.6,1.40649,1.68555,0.00424,0.57546,0.43858,0.40967,0.3047,1.14796,1.3419,0.00422,0.000439,0.000439,0.000439
19,2224.87,1.42467,1.64475,0.00415,0.59475,0.43464,0.41653,0.30966,1.13453,1.3286,0.0041,0.000406,0.000406,0.000406
20,2339.15,1.40546,1.63198,0.00419,0.44075,0.43671,0.42366,0.31631,1.13631,1.31044,0.00417,0.000373,0.000373,0.000373
21,2395.06,1.30986,1.64504,0.00479,0.41844,0.45106,0.4253,0.31626,1.1447,1.31913,0.00421,0.00034,0.00034,0.00034
22,2449.11,1.29014,1.60487,0.00466,0.43676,0.44467,0.43015,0.3207,1.14943,1.3041,0.00424,0.000307,0.000307,0.000307
23,2503.44,1.28492,1.57898,0.00457,0.44227,0.45049,0.43892,0.32624,1.14022,1.28475,0.00418,0.000274,0.000274,0.000274
24,2557.74,1.27767,1.5594,0.00451,0.45221,0.45239,0.44521,0.33126,1.13795,1.26791,0.00418,0.000241,0.000241,0.000241
25,2612.57,1.27951,1.54795,0.00459,0.45518,0.45305,0.45137,0.3361,1.13645,1.25832,0.00414,0.000208,0.000208,0.000208
26,2667.53,1.27702,1.53273,0.00463,0.46082,0.46131,0.45392,0.3377,1.13858,1.25022,0.00415,0.000175,0.000175,0.000175
27,2722.47,1.27085,1.52182,0.00458,0.45712,0.46461,0.45697,0.3408,1.1315,1.24304,0.00412,0.000142,0.000142,0.000142
28,2777.7,1.27533,1.51862,0.00453,0.45733,0.47091,0.45996,0.3428,1.13372,1.23427,0.00414,0.000109,0.000109,0.000109
29,2832.92,1.28875,1.5103,0.00453,0.462,0.47122,0.46109,0.34338,1.13285,1.23443,0.00415,7.6e-05,7.6e-05,7.6e-05
30,2889.08,1.28331,1.51454,0.00458,0.46182,0.47425,0.46155,0.34418,1.1331,1.23163,0.00413,4.3e-05,4.3e-05,4.3e-05
