epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,143.476,1.92071,3.70135,0.00691,0.04057,0.38581,0.105,0.07029,1.45848,3.21757,0.00555,0.000327684,0.000327684,0.000327684
2,257.393,1.62604,2.20135,0.00523,0.30444,0.33786,0.25738,0.1773,1.2911,1.86351,0.00513,0.000644657,0.000644657,0.000644657
3,371.511,1.51297,1.81514,0.00482,0.43043,0.37119,0.39,0.27674,1.25847,1.51815,0.0049,0.00094513,0.00094513,0.00094513
4,486.601,1.51048,1.65878,0.00462,0.42229,0.43318,0.43038,0.31035,1.20039,1.34556,0.00449,0.00092575,0.00092575,0.00092575
5,602.41,1.45193,1.53624,0.00443,0.48441,0.4685,0.4877,0.35052,1.19117,1.25568,0.00448,0.000901,0.000901,0.000901
6,717.294,1.4267,1.45298,0.0044,0.66979,0.49523,0.51501,0.38102,1.19294,1.17416,0.00451,0.00087625,0.00087625,0.00087625
7,831.238,1.41433,1.39881,0.00433,0.69925,0.49929,0.53215,0.39676,1.15151,1.14447,0.00441,0.0008515,0.0008515,0.0008515
8,945.362,1.41767,1.34551,0.00416,0.7131,0.5059,0.54676,0.40145,1.18864,1.13535,0.00444,0.00082675,0.00082675,0.00082675
9,1058.58,1.40151,1.2932,0.00416,0.74048,0.5241,0.56883,0.4258,1.15836,1.0536,0.00437,0.000802,0.000802,0.000802
10,1174.31,1.37996,1.26246,0.00412,0.72232,0.5376,0.57038,0.43074,1.13853,1.07115,0.00446,0.00077725,0.00077725,0.00077725
11,1290.23,1.37318,1.2485,0.00414,0.74376,0.54252,0.58852,0.44412,1.15709,1.0124,0.0046,0.0007525,0.0007525,0.0007525
12,1407.9,1.3797,1.21117,0.00408,0.74578,0.55364,0.5949,0.45563,1.12696,0.99466,0.00432,0.00072775,0.00072775,0.00072775
13,1523.94,1.36436,1.19616,0.00412,0.75208,0.55174,0.60499,0.46106,1.13383,0.98584,0.00432,0.000703,0.000703,0.000703
14,1638.85,1.34642,1.17298,0.00406,0.75252,0.55196,0.61013,0.46641,1.1021,0.96525,0.00418,0.00067825,0.00067825,0.00067825
15,1754.3,1.35759,1.14963,0.004,0.76538,0.54978,0.6123,0.46576,1.13059,0.95249,0.00428,0.0006535,0.0006535,0.0006535
16,1868.34,1.3285,1.1229,0.00405,0.77771,0.55338,0.64732,0.50025,1.11058,0.92613,0.00415,0.00062875,0.00062875,0.00062875
17,1983.7,1.34479,1.11888,0.00397,0.60555,0.66581,0.66635,0.51455,1.09018,0.91436,0.00408,0.000604,0.000604,0.000604
18,2102.04,1.33047,1.09478,0.00389,0.73303,0.63075,0.67373,0.52595,1.09018,0.90212,0.00419,0.00057925,0.00057925,0.00057925
19,2219.39,1.32808,1.09155,0.00386,0.68897,0.62602,0.67996,0.52706,1.10568,0.89901,0.00423,0.0005545,0.0005545,0.0005545
20,2335.6,1.32889,1.08146,0.00383,0.70696,0.62547,0.68194,0.52516,1.09881,0.89618,0.00418,0.00052975,0.00052975,0.00052975
21,2449.27,1.31665,1.07605,0.00392,0.71466,0.63539,0.69083,0.5362,1.08493,0.87675,0.00412,0.000505,0.000505,0.000505
22,2563.57,1.31956,1.06649,0.00385,0.73667,0.63007,0.68364,0.53299,1.08581,0.87014,0.00423,0.00048025,0.00048025,0.00048025
23,2677.92,1.30165,1.05027,0.00383,0.75571,0.63203,0.69656,0.54658,1.07729,0.86579,0.00405,0.0004555,0.0004555,0.0004555
24,2792.93,1.30943,1.04628,0.00381,0.70519,0.68468,0.7072,0.5547,1.07462,0.86617,0.00406,0.00043075,0.00043075,0.00043075
25,2911.17,1.31067,1.04479,0.00381,0.68771,0.65796,0.69894,0.54948,1.07353,0.86391,0.00408,0.000406,0.000406,0.000406
26,3030.23,1.3021,1.04318,0.00386,0.71019,0.62422,0.69905,0.54855,1.06875,0.85119,0.00399,0.00038125,0.00038125,0.00038125
27,3147.6,1.29907,1.02207,0.00379,0.70239,0.67634,0.70957,0.55945,1.07298,0.84995,0.00402,0.0003565,0.0003565,0.0003565
28,3263.88,1.29309,1.02261,0.00373,0.70788,0.66906,0.71547,0.56508,1.06574,0.84247,0.00396,0.00033175,0.00033175,0.00033175
29,3380.29,1.28946,1.00572,0.00367,0.74894,0.65797,0.71869,0.56438,1.06441,0.84165,0.00395,0.000307,0.000307,0.000307
30,3496.04,1.27722,1.00247,0.0037,0.75293,0.63364,0.72067,0.56796,1.06873,0.8362,0.00412,0.00028225,0.00028225,0.00028225
31,3553.66,1.21194,0.94806,0.00427,0.72819,0.65941,0.70605,0.55363,1.06496,0.84959,0.00398,0.0002575,0.0002575,0.0002575
32,3609.3,1.18464,0.91771,0.00413,0.73133,0.66623,0.71799,0.56384,1.06384,0.83412,0.00397,0.00023275,0.00023275,0.00023275
33,3664.83,1.18235,0.90994,0.00416,0.76705,0.6352,0.71822,0.56479,1.05601,0.83128,0.00393,0.000208,0.000208,0.000208
34,3720.49,1.16959,0.90209,0.00406,0.74514,0.6556,0.72606,0.57313,1.0484,0.82156,0.00385,0.00018325,0.00018325,0.00018325
35,3776.33,1.17705,0.89441,0.004,0.75643,0.65898,0.73258,0.58087,1.04593,0.81377,0.00385,0.0001585,0.0001585,0.0001585
36,3832.35,1.17513,0.88881,0.004,0.76794,0.65158,0.73487,0.58409,1.04336,0.81042,0.00384,0.00013375,0.00013375,0.00013375
37,3888.54,1.16956,0.88993,0.00396,0.78254,0.6481,0.73559,0.58339,1.04574,0.81288,0.00386,0.000109,0.000109,0.000109
38,3943.78,1.16279,0.88041,0.00395,0.73555,0.66166,0.73563,0.58629,1.0421,0.8092,0.00382,8.425e-05,8.425e-05,8.425e-05
39,4000.55,1.15948,0.87578,0.00393,0.76858,0.66422,0.73883,0.58731,1.03928,0.80702,0.00378,5.95e-05,5.95e-05,5.95e-05
40,4057.4,1.14817,0.87651,0.00396,0.75602,0.65949,0.73726,0.58924,1.03396,0.80829,0.00374,3.475e-05,3.475e-05,3.475e-05
